caseId	origin	category	resolutionText	pointsBits	renderStartBits	renderEndBits	instrumentId	expectedInitialBits	expectedInitializationBase64	expectedScoreBase64	expectedKind	expectedCategory
c-off-disabled-parameter	curated	disabled	0.1	0000000000000000:3fb999999999999a	0000000000000000	0000000000000000	1	0000000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAK		bits	
c-off-final-note	curated	final-note	0	0000000000000000:3fc999999999999a;3ff0000000000000:3fe999999999999a	0000000000000000	0000000000000000	1	3fc999999999999a	Z2tfYmx1ZV9hdXRvMSBpbml0IDAuMgo=	aTEJMAkxCTAuMgkwLjgKaTEJMQkwLjAwMDEJMC44CTAuOAo=	bits	
c-off-init-negative	curated	init-value	0.1	0000000000000000:bfd999999999999a;4000000000000000:3fd999999999999a	3fe0000000000000	0000000000000000	1	bfd3333333333333	Z2tfYmx1ZV9hdXRvMSBpbml0IC0wLjMK	aTEJMC4yNQkuMDAwMQktMC4xCmkxCTAuNQkuMDAwMQktMAppMQkwLjc1CS4wMDAxCTAuMQppMQkxCS4wMDAxCTAuMgppMQkxLjI1CS4wMDAxCTAuMwppMQkxLjUJLjAwMDEJMC40Cg==	bits	
c-off-init-quantized	curated	init-value	0.1	0000000000000000:0000000000000000;4000000000000000:3fe199999999999a	3ff0000000000000	0000000000000000	1	3fc999999999999a	Z2tfYmx1ZV9hdXRvMSBpbml0IDAuMgo=	aTEJMC4zMzMzMzMzMzMzCS4wMDAxCTAuNAppMQkwLjY2NjY2NjY2NjcJLjAwMDEJMC41CmkxCTEJLjAwMDEJMC41NQo=	bits	
c-off-init-subnormal	curated	init-value	0.0000000000000000001	0000000000000000:0000000000000001;3ff0000000000000:0000000000000002	3fe0000000000000	0000000000000000	1	0000000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAK	aTEJ4oieCS4wMDAxCTAK	bits	
c-off-line-path	curated	line-path	0	0000000000000000:0000000000000000;4000000000000000:3ff0000000000000	0000000000000000	0000000000000000	1	0000000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAK	aTEJMAkyCTAJMQppMQkyCTAuMDAwMQkxCTEK	bits	
c-off-multi-segment	curated	line-path	0	0000000000000000:3fb999999999999a;3ff0000000000000:3fe3333333333333;4000000000000000:3fc999999999999a	0000000000000000	0000000000000000	1	3fb999999999999a	Z2tfYmx1ZV9hdXRvMSBpbml0IDAuMQo=	aTEJMAkxCTAuMQkwLjYKaTEJMQkxCTAuNgkwLjIKaTEJMgkwLjAwMDEJMC4yCTAuMgo=	bits	
c-off-negative-resolution	curated	line-path	-1	0000000000000000:3fb999999999999a;4000000000000000:3feccccccccccccd	0000000000000000	0000000000000000	3	3fb999999999999a	Z2tfYmx1ZV9hdXRvMyBpbml0IDAuMQo=	aTMJMAkyCTAuMQkwLjkKaTMJMgkwLjAwMDEJMC45CTAuOQo=	bits	
c-off-negative-scale	curated	stepped-negative-scale	1E+3	0000000000000000:0000000000000000;409f400000000000:4097700000000000	0000000000000000	0000000000000000	1	0000000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAK	aTEJMTAwMAkuMDAwMQkxMDAwCmkxCTIwMDAJLjAwMDEJMTUwMAo=	bits	
c-off-render-clip-end	curated	render-clip	0	0000000000000000:0000000000000000;4000000000000000:3ff0000000000000	0000000000000000	3ff0000000000000	1	0000000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAK	aTEJMAkxCTAJMC41CmkxCTEJMC4wMDAxCTAuNQkwLjUK	bits	
c-off-render-clip-start	curated	render-clip	0.1	0000000000000000:0000000000000000;4000000000000000:3fe199999999999a	3ff0000000000000	0000000000000000	1	3fc999999999999a	Z2tfYmx1ZV9hdXRvMSBpbml0IDAuMgo=	aTEJMC4zMzMzMzMzMzMzCS4wMDAxCTAuNAppMQkwLjY2NjY2NjY2NjcJLjAwMDEJMC41CmkxCTEJLjAwMDEJMC41NQo=	bits	
c-off-render-clip-start-unquantized	curated	render-clip	-1	0000000000000000:0000000000000000;4000000000000000:3ff0000000000000	3ff0000000000000	0000000000000000	1	3fe0000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAuNQo=	aTEJMAkxCTAuNQkxCmkxCTEJMC4wMDAxCTEJMQo=	bits	
c-off-repeat-times	curated	repeat-times	0.1	0000000000000000:0000000000000000;3ff0000000000000:3fe0000000000000;3ff0000000000000:3feccccccccccccd;4000000000000000:3fee666666666666	0000000000000000	0000000000000000	1	0000000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAK	aTEJMC4yCS4wMDAxCTAuMQppMQkwLjQJLjAwMDEJMC4yCmkxCTAuNgkuMDAwMQkwLjMKaTEJMC44CS4wMDAxCTAuNAppMQkxCS4wMDAxCTAuNQppMQniiJ4JLjAwMDEJMC45NQo=	bits	
c-off-sentinel-open	curated	sentinel	0	0000000000000000:0000000000000000;4000000000000000:3ff0000000000000	0000000000000000	0000000000000000	1	0000000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAK	aTEJMAkyCTAJMQppMQkyCTAuMDAwMQkxCTEK	bits	
c-off-stepped-ascending	curated	stepped-ascending	0.1	0000000000000000:0000000000000000;4000000000000000:3fe199999999999a	0000000000000000	0000000000000000	1	0000000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAK	aTEJMC4zMzMzMzMzMzMzCS4wMDAxCTAuMQppMQkwLjY2NjY2NjY2NjcJLjAwMDEJMC4yCmkxCTEJLjAwMDEJMC4zCmkxCTEuMzMzMzMzMzMzMwkuMDAwMQkwLjQKaTEJMS42NjY2NjY2NjY3CS4wMDAxCTAuNQppMQkyCS4wMDAxCTAuNTUK	bits	
c-off-stepped-descending	curated	stepped-descending	0.1	0000000000000000:3fe199999999999a;4000000000000000:0000000000000000	0000000000000000	0000000000000000	1	3fe199999999999a	Z2tfYmx1ZV9hdXRvMSBpbml0IDAuNTUK	aTEJMC40CS4wMDAxCTAuNDUKaTEJMC44CS4wMDAxCTAuMzUKaTEJMS4yCS4wMDAxCTAuMjUKaTEJMS42CS4wMDAxCTAuMTUKaTEJMgkuMDAwMQkwCg==	bits	
c-off-stepped-flat	curated	stepped-flat	0.1	0000000000000000:3fe0000000000000;4000000000000000:3fe0000000000000	0000000000000000	0000000000000000	1	3fe0000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAuNQo=		bits	
c-off-tiny-values	curated	stepped-tiny	1E-7	0000000000000000:0000000000000000;3ff0000000000000:3e9421f5f40d8376	0000000000000000	0000000000000000	1	0000000000000000	Z2tfYmx1ZV9hdXRvMSBpbml0IDAK	aTEJMC4zMzMzMzMzMzMzCS4wMDAxCTAuMDAwMDAwMQppMQkwLjY2NjY2NjY2NjcJLjAwMDEJMC4wMDAwMDAyCmkxCTEJLjAwMDEJMC4wMDAwMDAzCg==	bits	
c-off-zero-step-clipped	curated	zero-step	0.1	0000000000000000:3fa47ae147ae147b;3ff0000000000000:3fa916872b020c4a;4000000000000000:3fe0000000000000	0000000000000000	4008000000000000	1	3fa47ae147ae147b	Z2tfYmx1ZV9hdXRvMSBpbml0IDAuMDQK		bits	
c-off-zero-step-open	curated	zero-step	0.1	0000000000000000:3fa47ae147ae147b;3ff0000000000000:3fa916872b020c4a;4000000000000000:3fe0000000000000	0000000000000000	0000000000000000	1	3fa47ae147ae147b	Z2tfYmx1ZV9hdXRvMSBpbml0IDAuMDQK	aTEJ4oieCS4wMDAxCTAuMDQ5CmkxCTEuMgkuMDAwMQkwLjE0OQppMQkxLjQJLjAwMDEJMC4yNDkKaTEJMS42CS4wMDAxCTAuMzQ5CmkxCTEuOAkuMDAwMQkwLjQ0OQppMQkyCS4wMDAxCTAuNQo=	bits	
