caseId	origin	category	resolutionText	curve	pointsBits	evaluationTimeBits	expectedKind	expectedBits	expectedCategory	sampleRateBits	sampleNumberBits
c-rt-adjacent-above	curated	adjacent-grid	0.1	LINEAR	0000000000000000:0000000000000000;3ff0000000000000:3ff0000000000000	3fd0000000000001	bits	3fc999999999999a			
c-rt-adjacent-below	curated	adjacent-grid	0.1	LINEAR	0000000000000000:0000000000000000;3ff0000000000000:3ff0000000000000	3fcfffffffffffff	bits	3fc999999999999a			
c-rt-after-last	curated	after-last	0.01	LINEAR	0000000000000000:3fb999999999999a;3ff0000000000000:3fefc6a7ef9db22d	4014000000000000	bits	3fefc6a7ef9db22d			
c-rt-after-last-quantized	curated	after-last	0.1	LINEAR	0000000000000000:3fb999999999999a;3ff0000000000000:3feea57a786c2268	4014000000000000	bits	3feea57a786c2268			
c-rt-ascending	curated	ascending	0.1	LINEAR	0000000000000000:0000000000000000;3ff0000000000000:3ff0000000000000	3fdd70a3d70a3d71	bits	3fd999999999999a			
c-rt-before-first	curated	before-first	-1	LINEAR	3ff0000000000000:3fe0000000000000;4000000000000000:3ff8000000000000	3fe0000000000000	bits	0000000000000000			
c-rt-before-first-quantized	curated	before-first	0.1	LINEAR	3ff0000000000000:3fe0000000000000;4000000000000000:3ff8000000000000	3fe0000000000000	bits	0000000000000000			
c-rt-descending	curated	descending	0.1	LINEAR	0000000000000000:3ff0000000000000;3ff0000000000000:0000000000000000	3fdd70a3d70a3d71	bits	3fe3333333333333			
c-rt-direct-point	curated	direct-point	0.01	LINEAR	0000000000000000:3fc999999999999a;3ff0000000000000:3fd7df3b645a1cac;4000000000000000:3fe999999999999a	3ff0000000000000	bits	3fd7df3b645a1cac			
c-rt-direct-point-last	curated	direct-point	0.01	LINEAR	0000000000000000:3fb999999999999a;3ff0000000000000:3fe8dd2f1a9fbe77	3ff0000000000000	bits	3fe8dd2f1a9fbe77			
c-rt-duplicate-time-last	curated	duplicate-time	0.01	LINEAR	0000000000000000:3fb999999999999a;3ff0000000000000:3fc999999999999a;3ff0000000000000:3fec6a7ef9db22d1	3ff0000000000000	bits	3fec6a7ef9db22d1			
c-rt-duplicate-time-mid	curated	duplicate-time	0.01	LINEAR	0000000000000000:3fb999999999999a;4000000000000000:3fc999999999999a;4000000000000000:3fe8dd2f1a9fbe77;4008000000000000:3fd999999999999a	4000000000000000	bits	3fe8dd2f1a9fbe77			
c-rt-empty-line	curated	empty-line	-1	LINEAR		3ff0000000000000	bits	0000000000000000			
c-rt-exact-grid	curated	exact-grid	0.1	LINEAR	0000000000000000:0000000000000000;3ff0000000000000:3fe0000000000000	3fe3333333333333	bits	3fc999999999999a			
c-rt-flat	curated	flat	0.1	LINEAR	0000000000000000:3fe0000000000000;4000000000000000:3fe0000000000000	3ff0000000000000	bits	3fe0000000000000			
c-rt-infinite-time	curated	special-values	0.1	LINEAR	0000000000000000:3fb999999999999a;3ff0000000000000:3feccccccccccccd	7ff0000000000000	bits	3feccccccccccccd			
c-rt-mgr-44100	curated	manager-boundary	0.01	LINEAR	0000000000000000:0000000000000000;4000000000000000:3ff0000000000000	3fb999999999999a	bits	3fa999999999999a		40e5888000000000	40b13a0000000000
c-rt-mgr-48000	curated	manager-boundary	0.1	LINEAR	0000000000000000:0000000000000000;4000000000000000:3ff0000000000000	3fd5555555555555	bits	3fb999999999999a		40e7700000000000	40cf400000000000
c-rt-mgr-96000	curated	manager-boundary	0.1	LINEAR	0000000000000000:3ff0000000000000;4000000000000000:0000000000000000	3fd0000000000000	bits	3feccccccccccccd		40f7700000000000	40d7700000000000
c-rt-mgr-unquantized	curated	manager-boundary	-1	LINEAR	0000000000000000:0000000000000000;4008000000000000:3ff0000000000000	3fd5555555555555	bits	3fbc71c71c71c71c		40e7700000000000	40cf400000000000
c-rt-nan-point-value	curated	non-finite	-1	LINEAR	0000000000000000:7ff8000000000000;3ff0000000000000:3feccccccccccccd	3fe0000000000000	bits	7ff8000000000000			
c-rt-nan-time	curated	non-finite	0.1	LINEAR	0000000000000000:3fb999999999999a;3ff0000000000000:3feccccccccccccd	7ff8000000000000	exception		NON_FINITE_AUTOMATION_INPUT		
c-rt-near-overflow	curated	special-values	-1	LINEAR	0000000000000000:7fe1ccf385ebc8a0;3ff0000000000000:7fee42d130773b76	3fe0000000000000	bits	7fe807e25b31820b			
c-rt-negative-infinite-time	curated	non-finite	-1	LINEAR	3ff0000000000000:3fe0000000000000;4000000000000000:3ff8000000000000	fff0000000000000	bits	fff0000000000000			
c-rt-overflow-to-infinite	curated	non-finite	0.1	LINEAR	0000000000000000:7fee42d130773b76;3ff0000000000000:ffee42d130773b76	3fd0000000000000	exception		NON_FINITE_AUTOMATION_INPUT		
c-rt-resolution-1	curated	resolution-variant	1	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3ff0000000000000			
