caseId	origin	category	operation	parameterBdText	parameterLegacyText	lineBdText	lineLegacyText	snapValueBits	snapMinBits	snapMaxBits	expectedCoefficient	expectedScale	expectedCanonicalText	expectedDoubleBits	expectedActivation	expectedParameterSaveBase64	expectedLineSaveBase64	expectedSnapBits	expectedLinePointsBits	expectedKind	expectedCategory
c-res-legacy-1	curated	legacy-normalize	legacy-normalize		0						0	0	0	0000000000000000	0					bits	
c-res-legacy-10	curated	legacy-normalize	legacy-normalize		-0.000001						0	0	0	0000000000000000	0					bits	
c-res-legacy-11	curated	legacy-normalize	legacy-normalize		0.123456789						12346	5	0.12346	3fbf9b13165d3997	1					bits	
c-res-legacy-12	curated	legacy-normalize	legacy-normalize		1234567.89						123456789	2	1234567.89	4132d687e3d70a3d	1					bits	
c-res-legacy-13	curated	legacy-normalize	legacy-normalize		1.0E7						1	-7	1E+7	416312d000000000	1					bits	
c-res-legacy-14	curated	legacy-normalize	legacy-normalize		1e22						1	-22	1E+22	4480f0cf064dd592	1					bits	
c-res-legacy-15	curated	legacy-normalize	legacy-normalize		3.7e-8						0	0	0	0000000000000000	0					bits	
c-res-legacy-16	curated	legacy-normalize	legacy-normalize		0.999999						1	0	1	3ff0000000000000	1					bits	
c-res-legacy-17	curated	legacy-normalize	legacy-normalize		1.5						15	1	1.5	3ff8000000000000	1					bits	
c-res-legacy-18	curated	legacy-normalize	legacy-normalize		2.675						2675	3	2.675	4005666666666666	1					bits	
c-res-legacy-19	curated	legacy-normalize	legacy-normalize		-2.675						-2675	3	-2.675	c005666666666666	0					bits	
c-res-legacy-2	curated	legacy-normalize	legacy-normalize		0.0						0	0	0	0000000000000000	0					bits	
c-res-legacy-20	curated	legacy-normalize	legacy-normalize		1e-3						1	3	0.001	3f50624dd2f1a9fc	1					bits	
c-res-legacy-21	curated	legacy-normalize	legacy-normalize		0.07						7	2	0.07	3fb1eb851eb851ec	1					bits	
c-res-legacy-3	curated	legacy-normalize	legacy-normalize		-0.0						0	0	0	0000000000000000	0					bits	
c-res-legacy-4	curated	legacy-normalize	legacy-normalize		0.1						1	1	0.1	3fb999999999999a	1					bits	
c-res-legacy-5	curated	legacy-normalize	legacy-normalize		0.10						1	1	0.1	3fb999999999999a	1					bits	
c-res-legacy-6	curated	legacy-normalize	legacy-normalize		0.05						5	2	0.05	3fa999999999999a	1					bits	
c-res-legacy-7	curated	legacy-normalize	legacy-normalize		0.15						15	2	0.15	3fc3333333333333	1					bits	
c-res-legacy-8	curated	legacy-normalize	legacy-normalize		-0.1						-1	1	-0.1	bfb999999999999a	0					bits	
c-res-legacy-9	curated	legacy-normalize	legacy-normalize		0.000001						0	0	0	0000000000000000	0					bits	
c-res-param-bd-both-equal	curated	parameter-load-save	parameter-load-save	0.1		0.1					1	1	0.1	3fb999999999999a	1	MC4x	MC4x		0000000000000000:3fb999999999999a;3fe0000000000000:3fe0000000000000;3ff0000000000000:3feccccccccccccd	bits	
c-res-param-conflicting-scales	curated	parameter-load-save	parameter-load-save	0.1		0.10					1	1	0.1	3fb999999999999a	1	MC4x	MC4x		0000000000000000:3fb999999999999a;3fe0000000000000:3fe0000000000000;3ff0000000000000:3feccccccccccccd	bits	
c-res-param-default-line-only	curated	parameter-load-save	parameter-load-save			0.25					-1	0	-1	bff0000000000000	0	LTE=	LTE=		0000000000000000:3fc0a3d70a3d70a4;3fe0000000000000:3fde147ae147ae14;3ff0000000000000:3fed1eb851eb851f	bits	
c-res-param-legacy-and-bd	curated	parameter-load-save	parameter-load-save	0.10	0.05						10	2	0.10	3fb999999999999a	1	MC4xMA==	MC4xMA==		0000000000000000:3fb999999999999a;3fe0000000000000:3fd999999999999a;3ff0000000000000:3feccccccccccccd	bits	
c-res-param-legacy-only	curated	parameter-load-save	parameter-load-save		0.1						1	1	0.1	3fb999999999999a	1	MC4x	MC4x		0000000000000000:3fb999999999999a;3fe0000000000000:3fe0000000000000;3ff0000000000000:3feccccccccccccd	bits	
c-res-param-line-legacy-only	curated	parameter-load-save	parameter-load-save				0.2				-1	0	-1	bff0000000000000	0	LTE=	LTE=		0000000000000000:3fc0a3d70a3d70a4;3fe0000000000000:3fde147ae147ae14;3ff0000000000000:3fed1eb851eb851f	bits	
c-res-param-line-malformed	curated	INVALID_DECIMAL_SYNTAX	parameter-load-save	0.1		xyz														exception	INVALID_DECIMAL_SYNTAX
c-res-param-malformed	curated	INVALID_DECIMAL_SYNTAX	parameter-load-save	abc																exception	INVALID_DECIMAL_SYNTAX
c-res-param-neg-scale	curated	parameter-load-save	parameter-load-save	1E+3			0.1				1	-3	1E+3	408f400000000000	1	MUUrMw==	MUUrMw==		0000000000000000:0000000000000000;3fe0000000000000:0000000000000000;3ff0000000000000:0000000000000000	bits	
c-res-param-negative	curated	parameter-load-save	parameter-load-save	-1							-1	0	-1	bff0000000000000	0	LTE=	LTE=		0000000000000000:3fc0a3d70a3d70a4;3fe0000000000000:3fde147ae147ae14;3ff0000000000000:3fed1eb851eb851f	bits	
c-res-param-scale-19	curated	parameter-load-save	parameter-load-save	0.0000000000000000001							1	19	1E-19	3bfd83c94fb6d2ac	1	MUUtMTk=	MUUtMTk=		0000000000000000:3fc0a3d70a3d70a4;3fe0000000000000:3fde147ae147ae14;3ff0000000000000:3fed1eb851eb851f	bits	
